mol_id,smiles
gdb_104,OC1CC1O
gdb_105,C1C2CC1C2
gdb_106,C1C2CC1O2
gdb_107,C#CCC#C
gdb_108,C#CCC#N
gdb_109,C(C#N)C#N
gdb_110,C#CCC=O
gdb_111,C(C=O)C#N
gdb_112,C(=N)NC=O
gdb_113,N=COC=O
gdb_114,C(=O)NC=O
gdb_115,CC#CC#C
gdb_116,CC#CC#N
gdb_117,CC#CC=O
gdb_118,CC#CCO
gdb_119,CCC#CC
gdb_120,CN=COC
gdb_121,CCCC#C
gdb_122,CCCC#N
gdb_123,CNCC#N
gdb_124,COCC#C
gdb_125,COCC#N
gdb_126,C#CCCO
gdb_127,C(CO)C#N
gdb_128,CCCC=O
gdb_129,CCNC=O
gdb_130,CCOC=O
gdb_131,COCC=O
gdb_132,C(CO)C=O
gdb_133,CCCCC
gdb_134,CCCCO
gdb_135,CCCOC
gdb_136,CCOCC
gdb_137,COCCO
gdb_138,C(CO)CO
gdb_139,C#CC1CC1
gdb_140,C#CC1CN1
gdb_141,C#CC1CO1
gdb_142,C1CC1C#N
gdb_143,N#CC1CN1
gdb_144,N#CC1CO1
gdb_145,C1CC1C=O
gdb_146,O=CC1CN1
gdb_147,O=CC1CO1
gdb_148,C1CN1C=O
gdb_149,CCC1CC1
gdb_150,CCC1CO1
gdb_151,CCN1CC1
gdb_152,COC1CC1
gdb_153,C1CC1CO
gdb_154,OCC1CN1
gdb_155,OCC1CO1
gdb_156,C1CC=CC1
gdb_157,C1COC=N1
gdb_158,C1C=CCO1
gdb_159,C1CCCC1
gdb_160,C1CCOC1
gdb_161,C1COCO1
gdb_162,C1C2CCC12
gdb_163,C1C2COC12
gdb_164,C1CC2OC12
gdb_165,c1c[nH]nc1
gdb_166,c1cnn[nH]1
gdb_167,c1[nH]ncn1
gdb_168,c1[nH]cnn1
gdb_169,c1cn[nH]n1
gdb_170,c1cnoc1
gdb_171,c1conn1
gdb_172,c1ncon1
gdb_173,c1nnco1
gdb_174,c1nnno1
gdb_175,c1cnon1
gdb_176,c1nnon1
gdb_177,n1nnon1
gdb_178,CC(=NO)C#C
gdb_179,CC(=NO)CO
gdb_180,CCC(=NO)C
gdb_181,C1CC(=NO)C1
gdb_182,C1C(=NO)CN1
gdb_183,C1C(=NO)CO1
gdb_184,C(F)(F)(F)F
gdb_185,N=C1NC=CO1
gdb_186,N=C1OC=CO1
gdb_187,c1c[nH]c(=O)[nH]1
gdb_188,c1coc(=O)[nH]1
gdb_189,c1coc(=O)o1
gdb_190,Cc1ccc[nH]1
gdb_191,Cc1ccco1
gdb_192,Cc1cnco1
gdb_193,Cc1ncco1
gdb_194,c1cc([nH]c1)N
gdb_195,c1cc(oc1)N
gdb_196,c1c(ocn1)N
gdb_197,c1coc(n1)N
gdb_198,c1cc([nH]c1)O
gdb_199,c1c([nH]cn1)O
gdb_200,c1cnc([nH]1)O
gdb_201,Cc1cc[nH]c1
gdb_202,Cc1c[nH]cn1
gdb_203,Cc1ccoc1
gdb_204,Cc1cocn1
gdb_205,c1c[nH]cc1N
gdb_206,c1c(nc[nH]1)N
gdb_207,c1cocc1N
gdb_208,c1c(nco1)N
gdb_209,c1c[nH]cc1O
gdb_210,c1c(nc[nH]1)O
gdb_211,c1c(nco1)O
gdb_212,Cn1cccc1
gdb_213,Cn1ccnc1
gdb_214,c1ccccc1
gdb_215,c1ccncc1
gdb_216,c1cnccn1
gdb_217,c1cncnc1
gdb_218,c1ncncn1
gdb_219,CC(C)(C)C#C
gdb_220,CC(C)(C)C#N
gdb_221,CC(C)(C#N)N
gdb_222,CC(C)(C#C)O
gdb_223,CC(C)(C#N)O
gdb_224,CC(C)(C)C=O
gdb_225,CC(C)(C=O)O
gdb_226,CC(C)(C)CO
gdb_227,CC(C)(CO)O
gdb_228,CCC(C)(C)C
gdb_229,CCC(C)(C)O
gdb_230,CC(C)(C)OC
gdb_231,CC#CC(=O)C
gdb_232,CC#CC(=O)N
gdb_233,CC#CC(C)C
gdb_234,CC#CC(C)O
gdb_235,CC(=O)CC#C
gdb_236,CC(=O)CC#N
gdb_237,C#CCC(=O)N
gdb_238,C(C#N)C(=O)N
gdb_239,CC(=N)NC=O
gdb_240,CC(=N)OC=O
gdb_241,CC(=O)CC=O
gdb_242,CC(=O)NC=N
gdb_243,CC(=O)NC=O
gdb_244,CC(=O)OC=N
gdb_245,C(=O)NC(=N)N
gdb_246,C(C=O)C(=O)N
gdb_247,C(=N)NC(=O)N
gdb_248,C(=O)NC(=O)N
gdb_249,NC(=O)OC=N
gdb_250,CC(C)CC#C
gdb_251,CC(C)CC#N
gdb_252,CC(O)CC#C
gdb_253,CC(O)CC#N
gdb_254,CN(C)CC#N
gdb_255,CC(C)CC=O
gdb_256,CC(C)NC=O
gdb_257,CC(C)OC=O
gdb_258,CC(O)CC=O
gdb_259,CN(C)CC=O
gdb_260,CC(=O)CCO
gdb_261,CCCC(=O)C
gdb_262,CCCC(=O)N
gdb_263,CCNC(=O)C
gdb_264,CCNC(=O)N
gdb_265,CCOC(=O)C
gdb_266,CCOC(=O)N
gdb_267,C[NH2+]CC([O-])=O
gdb_268,CC(=O)COC
gdb_269,COCC(=O)N
gdb_270,C(CO)C(=O)N
gdb_271,[NH3+]CCC([O-])=O
gdb_272,CC(C)CCO
gdb_273,CC(O)CCO
gdb_274,CCCC(C)C
gdb_275,CCCC(C)O
gdb_276,CCOC(C)C
gdb_277,CC(C)COC
gdb_278,COCC(C)O
gdb_279,CC(=O)C(=O)C
gdb_280,CC(=O)C(=N)N
gdb_281,CC(=O)C(=O)N
gdb_282,NC(=[NH2+])C([O-])=O
gdb_283,C(=O)(C(=O)N)N
gdb_284,CC(C)C(=O)C
gdb_285,CC(C)C(=O)N
gdb_286,CC([NH3+])C([O-])=O
gdb_287,CC(O)C(C)=O
gdb_288,CC(O)C(N)=O
gdb_289,CC(=O)N(C)C
gdb_290,CN(C)C(=O)N
gdb_291,CC(C)C(C)C
gdb_292,CC(C)C(C)O
gdb_293,CC(O)C(C)O
gdb_294,CC1(CCC1)C
gdb_295,CC1(CCO1)C
gdb_296,CC1(COC1)C
gdb_297,CC1(CCC1)O
gdb_298,CC1(COC1)O
gdb_299,CC1(C)CC1O
gdb_300,CC1(O)CC1O
gdb_301,CC1CC1(C)C
gdb_302,CC1CC1(C)O
gdb_303,CC1OC1(C)C
gdb_304,CC1(CN1C)C
gdb_305,CC1CC(=N)O1
gdb_306,CC1CC(=O)C1
gdb_307,CC1CC(=O)N1
gdb_308,CC1CC(=O)O1
gdb_309,CN1CC(=O)C1
gdb_310,C1C(CC1=O)O
gdb_311,CC1CC(C)C1
gdb_312,CC1CC(C)O1
gdb_313,CC1CC(O)C1
gdb_314,CN1CC(C1)O
gdb_315,OC1CC(O)C1
gdb_316,CC12CC(C1)C2
gdb_317,CC12CC(C1)O2
gdb_318,CC12CN(C1)C2
gdb_319,OC12CC(C1)C2
gdb_320,OC12CN(C1)C2
gdb_321,C#CC(=O)C#C
gdb_322,C#CC(=O)C#N
gdb_323,C(#N)C(=O)C#N
gdb_324,C#CC(=O)C=O
gdb_325,C(=O)C(=O)C#N
gdb_326,C(=O)C(=O)C=O
gdb_327,CC(C#C)C#C
gdb_328,CC(C#C)C#N
gdb_329,CC(C#N)C#N
gdb_330,NC(C#C)C#N
gdb_331,C(#N)C(C#N)N
gdb_332,C#CC(C#C)O
gdb_333,OC(C#C)C#N
gdb_334,C(#N)C(C#N)O
gdb_335,CC(C=O)C#C
gdb_336,CC(C=O)C#N
gdb_337,OC(C=O)C#C
gdb_338,OC(C=O)C#N
gdb_339,CC(C=O)C=O
gdb_340,CN(C=N)C=O
gdb_341,CN(C=O)C=O
gdb_342,C(=O)C(C=O)O
gdb_343,CN=C(C#N)N
gdb_344,CN=C(C=O)N
gdb_345,CCC(=O)C#C
gdb_346,CCC(=O)C#N
gdb_347,CNC(=N)C#N
gdb_348,CNC(=O)C#C
gdb_349,COC(=O)C#C
gdb_350,COC(=O)C#N
gdb_351,C#CC(=O)CO
gdb_352,C(C(=O)C#N)O
gdb_353,CCC(=O)C=O
gdb_354,CNC(=N)C=O
gdb_355,CNC(=O)C=O
gdb_356,COC(=O)C=O
gdb_357,C(C(=O)C=O)O
gdb_358,CCC(=O)CC
gdb_359,CCC(=O)CO
gdb_360,CCC(=O)NC
gdb_361,CCC(=O)OC
gdb_362,CNC(=O)CO
gdb_363,CNC(=O)NC
gdb_364,CNC(=O)OC
gdb_365,COC(=O)CN
gdb_366,COC(=O)CO
gdb_367,C(C(=O)CO)O
gdb_368,CC(=NC)OC
gdb_369,CC(CO)C#C
gdb_370,CC(CO)C#N
gdb_371,CCC(C)C#C
gdb_372,CCC(C)C#N
gdb_373,CCC(N)C#N
gdb_374,CCC(O)C#C
gdb_375,CCC(O)C#N
gdb_376,CNC(C)C#N
gdb_377,COC(C)C#C
gdb_378,COC(C)C#N
gdb_379,NC(CO)C#N
gdb_380,NCC(N)C#N
gdb_381,NCC(O)C#N
gdb_382,OCC(O)C#C
gdb_383,OCC(O)C#N
gdb_384,CC(CO)C=O
gdb_385,CCC(C)C=O
gdb_386,CCC(O)C=O
gdb_387,CCN(C)C=O
gdb_388,COC(C)C=O
gdb_389,OCC(O)C=O
gdb_390,CC(CO)CO
gdb_391,CCC(C)CC
gdb_392,CCC(C)CO
gdb_393,CCC(C)OC
gdb_394,CCC(CC)O
gdb_395,CCC(O)CO
gdb_396,COC(C)CO
gdb_397,C(C(CO)O)O
gdb_398,CC1(CC1)C#C
gdb_399,CC1(CC1)C#N
gdb_400,CC1(CN1)C#C
gdb_401,CC1(CN1)C#N
gdb_402,CC1(CO1)C#C
gdb_403,CC1(CO1)C#N
gdb_404,C1CC1(C#N)N
gdb_405,C#CC1(CC1)O
gdb_406,C1CC1(C#N)O
gdb_407,CC1(CC1)C=O
gdb_408,CC1(CN1)C=O
gdb_409,CC1(CO1)C=O
gdb_410,C1CC1(C=O)O
gdb_411,CC1(CC1)CO
gdb_412,CC1(CO)CN1
gdb_413,CC1(CO)CO1
gdb_414,CCC1(CC1)C
gdb_415,CCC1(C)CO1
gdb_416,CCC1(CC1)O
gdb_417,CC1(CC1)OC
gdb_418,C1CC1(CO)O
gdb_419,CC1CCC1=O
gdb_420,CC1CNC1=O
gdb_421,CC1COC1=N
gdb_422,CC1COC1=O
gdb_423,CC1NCC1=O
gdb_424,CC1OCC1=O
gdb_425,CN1CCC1=O
gdb_426,NC1COC1=N
gdb_427,NC1COC1=O
gdb_428,OC1CCC1=O
gdb_429,OC1CNC1=O
gdb_430,OC1COC1=N
gdb_431,OC1COC1=O
gdb_432,CC1CCC1C
gdb_433,CC1CCC1O
gdb_434,CC1COC1C
gdb_435,CC1OCC1O
gdb_436,OC1CCC1O
gdb_437,N=C1CN=CN1
gdb_438,C1C=CCC1=O
gdb_439,C1C=CNC1=O
gdb_440,C1C(=O)NC=N1
gdb_441,C1C(=O)OC=N1
gdb_442,N=C1OCC=C1
gdb_443,C1CC(=O)C=C1
gdb_444,C1C=CC(=O)N1
gdb_445,N=C1CCCO1
gdb_446,N=C1COCO1
gdb_447,N=C1OCCO1
gdb_448,C1CCC(=O)C1
gdb_449,C1CC(=O)NC1
gdb_450,C1CC(=O)OC1
gdb_451,C1COCC1=O
gdb_452,C1C(=O)OCO1
gdb_453,C1CNC(=O)N1
gdb_454,C1COC(=O)N1
gdb_455,C1COC(=O)O1
gdb_456,CC1=CCCC1
gdb_457,CC1=CCOC1
gdb_458,CC1=NCCO1
gdb_459,CC1CC=CC1
gdb_460,CC1CN=CO1
gdb_461,OC1CC=CC1
gdb_462,CC1CCC=C1
gdb_463,CC1COC=N1
gdb_464,CC1OCC=C1
gdb_465,OC1CCC=C1
gdb_466,CC1CCCC1
gdb_467,CC1CCCO1
gdb_468,CC1CCOC1
gdb_469,CC1COCO1
gdb_470,CC1OCCO1
gdb_471,C1CCC(C1)O
gdb_472,OC1CCOC1
gdb_473,CC1C(C)C1C
gdb_474,CC1C(C)C1O
gdb_475,CC1C(C)N1C
gdb_476,CC1C(O)C1O
gdb_477,OC1C(O)C1O
gdb_478,CC12CC1CC2
gdb_479,CC12CC1CO2
gdb_480,CC12CC1OC2
gdb_481,CC12CCC1O2
gdb_482,OC12CC1CC2
gdb_483,OC12CC1OC2
gdb_484,C#CC#CC#C
gdb_485,C#CC#CC#N
gdb_486,C(#CC#N)C#N
gdb_487,C#CCCC#C
gdb_488,C#CCCC#N
gdb_489,C(CC#N)C#N
gdb_490,C#CC#CC=O
gdb_491,C(=O)C#CC#N
gdb_492,C(=O)C#CC=O
gdb_493,N=COCC#C
gdb_494,N=COCC#N
gdb_495,C#CCCC=O
gdb_496,C(CC#N)C=O
gdb_497,C#CCNC=O
gdb_498,C(C#N)NC=O
gdb_499,C#CCOC=O
gdb_500,C(C#N)OC=O
gdb_501,N=COCC=O
gdb_502,C(CC=O)C=O
gdb_503,C(C=O)NC=O
gdb_504,C(C=O)OC=O
gdb_505,CC#CC#CC
gdb_506,CC#CCC#C
gdb_507,CC#CCC#N
gdb_508,CC#CCC=O
gdb_509,CN=CNC=O
gdb_510,CN=COC=O
gdb_511,CCC#CC#C
gdb_512,CCC#CC#N
gdb_513,C#CC#CCO
gdb_514,C(C#CC#N)O
gdb_515,CCC#CC=O
gdb_516,C(C#CC=O)O
gdb_517,CCC#CCC
gdb_518,CCC#CCO
gdb_519,C(C#CCO)O
gdb_520,CCN=COC
gdb_521,CC#CCCO
gdb_522,CCCC#CC
gdb_523,CC#CCOC
gdb_524,CCOC=NC
gdb_525,CCCCC#C
gdb_526,CCCCC#N
gdb_527,CCNCC#N
gdb_528,CCOCC#C
gdb_529,CCOCC#N
gdb_530,COCCC#C
gdb_531,COCCC#N
gdb_532,C#CCCCO
gdb_533,C(CC#N)CO
gdb_534,CCCCC=O
gdb_535,CCCNC=O
gdb_536,CCCOC=O
gdb_537,CCOCC=O
gdb_538,COCCC=O
gdb_539,C(CC=O)CO
gdb_540,C(CO)NC=O
gdb_541,OCCOC=N
gdb_542,C(COC=O)O
gdb_543,CCCCCC
gdb_544,CCCCCO
gdb_545,CCCCOC
gdb_546,CCCOCC
gdb_547,CCOCCO
gdb_548,COCCCO
gdb_549,COCCOC
gdb_550,C(CCO)CO
gdb_551,C#CC1CCC1
gdb_552,C#CC1CCO1
gdb_553,C#CC1COC1
gdb_554,C1CC(C1)C#N
gdb_555,N#CC1CCN1
gdb_556,N#CC1CCO1
gdb_557,C1C(CO1)C#N
gdb_558,C1CC(C1)C=O
gdb_559,O=CC1CCO1
gdb_560,C1C(CO1)C=O
gdb_561,C1CN(C1)C=O
gdb_562,CN=C1CCO1
gdb_563,CCC1CCC1
gdb_564,CCC1CCO1
gdb_565,CCC1COC1
gdb_566,COC1CCC1
gdb_567,COC1COC1
gdb_568,C1CC(C1)CO
gdb_569,OCC1CCO1
gdb_570,C1C(CO1)CO
gdb_571,C#CCC1CC1
gdb_572,C#CCC1CO1
gdb_573,C#CCN1CC1
gdb_574,C1CC1CC#N
gdb_575,N#CCC1CN1
gdb_576,N#CCC1CO1
gdb_577,C1CN1CC#N
gdb_578,N=COC1CC1
gdb_579,C1CC1CC=O
gdb_580,O=CCC1CN1
gdb_581,O=CCC1CO1
gdb_582,C1CN1CC=O
gdb_583,C1CC1NC=O
gdb_584,C1CC1OC=O
gdb_585,CC#CC1CC1
gdb_586,CC#CC1CN1
gdb_587,CC#CC1CO1
gdb_588,CCCC1CC1
gdb_589,CCCC1CO1
gdb_590,CCCN1CC1
gdb_591,CCOC1CC1
gdb_592,COCC1CC1
gdb_593,COCC1CN1
gdb_594,COCC1CO1
gdb_595,C1CC1CCO
gdb_596,OCCC1CO1
gdb_597,C1CN1CCO
gdb_598,CC1CC1C#C
gdb_599,CC1CC1C#N
gdb_600,CC1NC1C#C
gdb_601,CC1NC1C#N
gdb_602,CC1OC1C#C
gdb_603,CC1OC1C#N
gdb_604,CN1CC1C#C
gdb_605,CN1CC1C#N
gdb_606,OC1CC1C#C
gdb_607,OC1CC1C#N
gdb_608,CC1CC1C=O
gdb_609,CC1CN1C=O
gdb_610,CC1NC1C=O
gdb_611,CC1OC1C=O
gdb_612,CN1CC1C=O
gdb_613,OC1CC1C=O
gdb_614,CC1CC1CO
gdb_615,CC1NC1CO
gdb_616,CC1OC1CO
gdb_617,CCC1CC1C
gdb_618,CCC1CC1O
gdb_619,CCC1CN1C
gdb_620,CCC1OC1C
gdb_621,CCN1CC1C
gdb_622,CN1CC1CO
gdb_623,COC1CC1C
gdb_624,COC1CC1O
gdb_625,OCC1CC1O
gdb_626,CC(=O)C1CC1
gdb_627,CC(=O)C1CN1
gdb_628,CC(=O)C1CO1
gdb_629,CC(=O)N1CC1
gdb_630,C1CC1C(=O)N
gdb_631,NC(=O)C1CN1
gdb_632,NC(=O)C1CO1
gdb_633,C1CN1C(=O)N
gdb_634,CC(C)C1CC1
gdb_635,CC(C)C1CO1
gdb_636,CC(C)N1CC1
gdb_637,CC(O)C1CC1
gdb_638,CC(O)C1CN1
gdb_639,CC(O)C1CO1
gdb_640,C1CC2(C1)CC2
gdb_641,C1CC12CCO2
gdb_642,C1CC12COC2
gdb_643,C1C2(N1)COC2
gdb_644,C1CC2(C1)CO2
gdb_645,C1C2(CO1)CO2
gdb_646,C1C2CC1C=C2
gdb_647,C1C2OC1C=C2
gdb_648,C1C2CC1CC2
gdb_649,C1C2CC1OC2
gdb_650,C1C2CCC1O2
gdb_651,CC1C2CC1C2
gdb_652,CC1C2CC1O2
gdb_653,OC1C2CC1C2
gdb_654,OC1C2CC1O2
gdb_655,C1COCC=C1
gdb_656,C1CCC=CC1
gdb_657,C1CN=COC1
gdb_658,C1CCCCC1
gdb_659,C1CCOCC1
gdb_660,C1COCCO1
gdb_661,C1COCOC1
gdb_662,C1CC2CCC12
gdb_663,C1CC2OCC12
gdb_664,C1OC2COC12
gdb_665,CC1C2CCC12
gdb_666,CC1C2COC12
gdb_667,OC1C2CCC12
gdb_668,OC1C2COC12
gdb_669,C1C2CC=CC12
gdb_670,C1C2OC=NC12
gdb_671,C1C=CC2NC12
gdb_672,C1C=CC2OC12
gdb_673,C1C2CCCC12
gdb_674,C1C2CCOC12
gdb_675,C1C2COCC12
gdb_676,C1C2OCOC12
gdb_677,C1CC2OC2C1
gdb_678,C1OCC2NC12
gdb_679,C1OCC2OC12
gdb_680,N=C1OC2CC12
gdb_681,O=C1CC2CC12
gdb_682,O=C1CC2CN12
gdb_683,O=C1CC2NC12
gdb_684,O=C1CC2OC12
gdb_685,O=C1CN2CC12
gdb_686,O=C1NC2CC12
gdb_687,O=C1OC2CC12
gdb_688,CC1CC2CC12
gdb_689,CC1CC2OC12
gdb_690,CC1OC2CC12
gdb_691,OC1CC2CC12
gdb_692,OC1CC2NC12
gdb_693,OC1CC2OC12
gdb_694,OC1CN2CC12
gdb_695,C1C2C3CC2C13
gdb_696,C1C2C3CN2C13
gdb_697,C1C2C3OC2C13
gdb_698,N1C2C3NC2C13
gdb_699,N1C2C3OC2C13
gdb_700,O1C2C3OC2C13
gdb_701,C1CC1C2CC2
gdb_702,C1CC1C1CO1
gdb_703,C1CC1N2CC2
gdb_704,C1NC1C1CN1
gdb_705,C1NC1C1CO1
gdb_706,C1OC1C1CO1
gdb_707,C1C2C1C1CC21
gdb_708,C1C2C1C1NC21
gdb_709,C1C2C1C1OC21
gdb_710,C1C2C1N1CC21
gdb_711,N1C2C1C1NC21
gdb_712,N1C2C1C1OC21
gdb_713,O1C2C1C1OC21
gdb_714,C1C2C3C1CN23
gdb_715,C1C2C3CC1C23
gdb_716,C1C2C3CC1N23
gdb_717,C1C2C3CN1C23
gdb_718,C1C2C3OC1C23
gdb_719,C12C3C1C1C2C31
gdb_720,C12C3C1N1C2C31
gdb_721,c1ccnnc1
gdb_722,c1cnnnc1
gdb_723,c1nncnn1
gdb_724,c1ncnnn1
gdb_725,c1cnnnn1
gdb_726,Cc1ccn[nH]1
gdb_727,Cc1ccno1
gdb_728,Cc1cnn[nH]1
gdb_729,Cc1cnno1
gdb_730,Cc1c[nH]nc1
gdb_731,Cc1c[nH]nn1
gdb_732,Cc1cnoc1
gdb_733,Cc1conn1
gdb_734,Cc1[nH]ncn1
gdb_735,Cc1ncno1
gdb_736,Cc1cc[nH]n1
gdb_737,Cc1nc[nH]n1
gdb_738,Cc1cn[nH]n1
gdb_739,Cc1n[nH]nn1
gdb_740,Cc1ccon1
gdb_741,Cc1ncon1
gdb_742,Cc1cnon1
gdb_743,Cc1nnon1
gdb_744,Cn1cccn1
gdb_745,Cn1ccnn1
gdb_746,Cn1cncn1
gdb_747,Cn1cnnc1
gdb_748,Cn1cnnn1
gdb_749,Cn1nccn1
gdb_750,Cn1ncnn1
gdb_751,Cn1nnnn1
gdb_752,N=C1NC=NO1
gdb_753,N=C1NN=NN1
gdb_754,N=C1OC=NO1
gdb_755,N=C1ON=NO1
gdb_756,c1cn[nH]c1N
gdb_757,c1cnoc1N
gdb_758,c1c([nH]nn1)N
gdb_759,c1c(onn1)N
gdb_760,c1c(cn[nH]1)N
gdb_761,c1c(nn[nH]1)N
gdb_762,c1c(con1)N
gdb_763,c1c(nno1)N
gdb_764,c1nc([nH]n1)N
gdb_765,c1nc(on1)N
gdb_766,c1c[nH]nc1N
gdb_767,c1[nH]nc(n1)N
gdb_768,c1c(n[nH]n1)N
gdb_769,c1(n[nH]nn1)N
gdb_770,c1conc1N
gdb_771,c1nc(no1)N
gdb_772,c1c(non1)N
gdb_773,c1(nnon1)N
gdb_774,c1[nH]c(=O)[nH]n1
gdb_775,c1[nH]c(=O)on1
gdb_776,c1(=O)[nH]nn[nH]1
gdb_777,c1(=O)[nH]nno1
gdb_778,c1noc(=O)o1
gdb_779,c1(=O)onno1
gdb_780,c1cn[nH]c1O
gdb_781,c1c(cn[nH]1)O
gdb_782,c1c(nn[nH]1)O
gdb_783,c1nc([nH]n1)O
gdb_784,c1c[nH]nc1O
gdb_785,c1[nH]nc(n1)O
gdb_786,c1c(n[nH]n1)O
gdb_787,c1(n[nH]nn1)O
gdb_788,c1conc1O
gdb_789,c1nc(no1)O
gdb_790,c1(nnon1)O
gdb_791,CC#CC(=NO)C
gdb_792,CC(=NO)CC#C
gdb_793,CC(=NO)CC#N
gdb_794,CC(=NO)CC=O
gdb_795,CC(=NO)CCO
gdb_796,CCCC(=NO)C
gdb_797,CC(=NO)COC
gdb_798,CC(=NO)C(=NO)C
gdb_799,CC(=NO)C(=O)N
gdb_800,CC(C)C(=NO)C
gdb_801,CC(O)C(C)=NO
gdb_802,CC1CC(C1)=NO
gdb_803,CN1CC(=NO)C1
gdb_804,ON=C1CC(O)C1
gdb_805,C#CC(=NO)C#C
gdb_806,CCC(=NO)C#C
gdb_807,C#CC(=NO)CO
gdb_808,CCC(=NO)CC
gdb_809,CCC(=NO)CO
gdb_810,CC1CCC1=NO
gdb_811,CC1NCC1=NO
gdb_812,CC1OCC1=NO
gdb_813,ON=C1CCC1O
gdb_814,C1C=CCC1=NO
gdb_815,C1CC(=NO)C=C1
gdb_816,C1C(=NO)C=CN1
gdb_817,C1CCC(=NO)C1
gdb_818,C1COCC1=NO
gdb_819,CC(=NO)C1CC1
gdb_820,CC(=NO)C1CN1
gdb_821,CC(=NO)C1CO1
gdb_822,ON=C1CC2CC12
gdb_823,ON=C1CC2NC12
gdb_824,ON=C1CC2OC12
gdb_825,ON=C1CN2CC12
gdb_826,C#CC(F)(F)F
gdb_827,C(#N)C(F)(F)F
gdb_828,C(=O)C(F)(F)F
gdb_829,C(C(F)(F)F)N
gdb_830,C(C(F)(F)F)O
gdb_831,CCC(F)(F)F
gdb_832,Cc1cc([nH]c1)C
gdb_833,Cc1cc(oc1)C
gdb_834,Cc1cc(c[nH]1)N
gdb_835,Cc1cc(co1)N
gdb_836,Cc1cc(c[nH]1)O
gdb_837,Cc1cc(co1)O
gdb_838,Cc1cc([nH]c1)N
gdb_839,Cc1cc([nH]c1)O
gdb_840,Cc1c[nH]c(n1)O
gdb_841,Cc1cc(oc1)N
gdb_842,Cc1coc(n1)N
gdb_843,Cc1coc(n1)O
gdb_844,Cc1c[nH]c(n1)C
gdb_845,Cc1coc(n1)C
gdb_846,Cc1nc(co1)N
gdb_847,Cc1[nH]cc(n1)O
gdb_848,Cc1nc(co1)O
gdb_849,c1c(c[nH]c1N)N
gdb_850,c1c(coc1N)N
gdb_851,c1c(c[nH]c1N)O
gdb_852,c1c(coc1N)O
gdb_853,c1c(c[nH]c1O)N
gdb_854,c1c(nc([nH]1)O)N
gdb_855,c1c(nc(o1)O)N
gdb_856,c1c(nc(o1)N)N
gdb_857,c1c(nc([nH]1)N)O
gdb_858,c1c(nc(o1)N)O
gdb_859,c1c(c[nH]c1O)O
gdb_860,c1c(nc([nH]1)O)O
gdb_861,Cc1ccc([nH]1)C
gdb_862,Cc1ccc(o1)C
